route_id,vehicle_type,hour_of_day,day_of_week,distance_km,actual_travel_time_minutes
1,bus,0,saturday,2.42,7.05
1,bus,21,saturday,7.17,26.7
1,e-jeep,0,monday,1.98,4.75
3,jeepney,6,saturday,5.3,15.25
2,jeepney,18,wednesday,6.53,42.97
3,jeepney,13,wednesday,2.44,8.52
1,e-jeep,2,thursday,1.04,2.36
2,bus,1,saturday,3.84,11.37
1,e-jeep,17,wednesday,6.69,35.81
3,e-jeep,6,saturday,0.84,2.14
1,e-jeep,7,sunday,1.08,5.31
2,bus,5,wednesday,3.04,9.47
3,bus,20,monday,4.99,21.07
1,bus,5,thursday,3.22,9.56
3,bus,17,tuesday,5.57,38.4
1,jeepney,1,sunday,2.73,6.57
3,jeepney,22,wednesday,1.94,5.17
2,bus,4,wednesday,1.38,4.25
2,bus,23,friday,3.6,11.37
1,e-jeep,4,friday,4.1,9.45
1,jeepney,20,tuesday,6.4,21.6
2,jeepney,12,friday,7.97,26.44
1,bus,21,saturday,1.18,3.87
3,e-jeep,10,monday,2.56,8.12
3,jeepney,23,wednesday,7.78,19.91
1,bus,20,wednesday,6.78,27.09
1,jeepney,11,sunday,1.54,4.16
1,bus,19,wednesday,4.06,31.48
2,e-jeep,7,monday,2.15,11.6
1,jeepney,23,thursday,6.58,16.3
1,bus,4,saturday,3.96,10.93
3,e-jeep,19,thursday,7.73,39.46
3,bus,6,saturday,2.7,8.7
2,bus,14,friday,3.78,15.76
2,jeepney,0,friday,4.57,12.02
1,jeepney,22,saturday,0.75,1.87
2,jeepney,2,friday,2.13,5.53
3,jeepney,4,saturday,7.5,17.2
1,e-jeep,15,sunday,3.43,9.57
2,bus,11,thursday,3.47,13.12
3,jeepney,20,saturday,1.06,3.12
1,e-jeep,7,tuesday,1.76,9.68
1,e-jeep,8,thursday,2.22,11.34
3,e-jeep,3,monday,5.32,12.69
1,jeepney,7,tuesday,3.43,20.85
1,e-jeep,5,thursday,0.32,0.78
2,e-jeep,13,saturday,7.67,18.54
3,bus,22,thursday,1.49,4.93
3,jeepney,23,friday,0.77,2.12
3,jeepney,15,friday,7.38,24.48
3,jeepney,2,sunday,1.73,3.95
1,bus,12,monday,7.55,29.87
